date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:40	50/50	---MCZ	200	added ('OK')	text/plain	date:Mon,%2015%20Mar%202021%2017:11:19%20GMT	https://demo.cocobasic.com/robots.txt		(from )
14:10:40	22336/22336	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2017:11:19%20GMT	https://demo.cocobasic.com/volos-wp/demo-1/blog/	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/blog/index.html	(from )
14:10:41	177095/177095	---MCZ	200	added ('OK')	text/css	etag:W/%22604b2e87-2b3c7%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_b2fd8562be40cb35dee467b0d200af1e.css	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_b2fd8562be40cb35dee467b0d200af1e.css	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:42	89496/89496	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd0980d-15d98%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-includes/js/jquery/jquery.min.js	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-includes/js/jquery/jquery.min.js	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:43	410/410	---M--	200	added ('OK')	image/png	etag:%225e400848-19a%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/cropped-favicon-32x32.png	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/cropped-favicon-32x32.png	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:43	8629/8629	---M--	200	added ('OK')	image/png	etag:%225e400848-21b5%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/cropped-favicon-192x192.png	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/cropped-favicon-192x192.png	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:44	10139/10139	---M--	200	added ('OK')	image/png	etag:%225e400848-279b%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/cropped-favicon-180x180.png	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/cropped-favicon-180x180.png	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:44	78363/78363	---M--	200	added ('OK')	image/gif	etag:%225e400849-1321b%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/themes/volos-wp/images/preloader.gif	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/themes/volos-wp/images/preloader.gif	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:45	5445/5445	---M--	200	added ('OK')	image/png	etag:%225e400848-1545%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/signature.png	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/signature.png	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:45	344165/344165	---M--	200	added ('OK')	image/jpeg	etag:%225e400848-54065%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/image_blog_01.jpg	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/image_blog_01.jpg	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:46	241237/241237	---M--	200	added ('OK')	image/jpeg	etag:%225e400848-3ae55%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/image_blog_02.jpg	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/image_blog_02.jpg	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:47	115161/115161	---MCZ	200	added ('OK')	text/css	etag:W/%22604a0a41-1c1d9%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/elementor/css/custom-frontend.min.css	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/elementor/css/custom-frontend.min.css	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:48	222493/222493	---M--	200	added ('OK')	image/jpeg	etag:%225e400848-3651d%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/image_blog_03.jpg	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/uploads/2019/11/image_blog_03.jpg	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:48	2081/2081	---MCZ	200	added ('OK')	text/css	etag:W/%225fd132f8-821%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_single_af8cad7427e804f572c1f7acc9f324c5.css	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_single_af8cad7427e804f572c1f7acc9f324c5.css	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:48	1066/1066	---MCZ	200	added ('OK')	text/css	etag:W/%225fd132f8-42a%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_single_e3a1a1ac440a36768a0a915ccb955603.css	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-content/cache/autoptimize/css/autoptimize_single_e3a1a1ac440a36768a0a915ccb955603.css	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:48	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a29bc-4d7%22	https://demo.cocobasic.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
14:10:50	99310/99310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f32fed7-183ee%22	https://demo.cocobasic.com/volos-wp/demo-1/wp-includes/js/dist/vendor/wp-polyfill.min.js	C:/Users/rrcha/Desktop/BASE-TESTE/port-blog/blog/demo.cocobasic.com/volos-wp/demo-1/wp-includes/js/dist/vendor/wp-polyfill.min.js	(from https://demo.cocobasic.com/volos-wp/demo-1/blog/)
